Target Author,Citing Paper,Number of Authors,Overcite Count
10141917500,2-s2.0-77955385343,4,1
10141917500,2-s2.0-77956475542,5,1
10141917500,2-s2.0-77957940540,4,1
10141917500,2-s2.0-77958153916,2,1
10141917500,2-s2.0-77950277756,2,1
10141917500,2-s2.0-73949124878,2,1
10141917500,2-s2.0-70449509635,3,1
10141917500,2-s2.0-65249160138,3,1
10141917500,2-s2.0-67249087316,2,1
10141917500,2-s2.0-67249160549,3,1
10141917500,2-s2.0-67651085533,3,1
10141917500,2-s2.0-70349656404,2,1
10141917500,2-s2.0-70350261480,2,1
10141917500,2-s2.0-70350491030,5,1
10141917500,2-s2.0-70449096333,2,1
10141917500,2-s2.0-70449461845,4,1
10141917500,2-s2.0-78049466846,3,1
10141917500,2-s2.0-78449231265,3,1
10141917500,2-s2.0-78650273212,5,1
10141917500,2-s2.0-80052175522,4,1
10141917500,2-s2.0-80052725596,2,1
10141917500,2-s2.0-80052993274,3,1
10141917500,2-s2.0-80053162162,3,1
10141917500,2-s2.0-80855127544,4,1
10141917500,2-s2.0-84855584838,3,1
10141917500,2-s2.0-84856202661,4,1
10141917500,2-s2.0-84857736211,1,1
10141917500,2-s2.0-84858015008,5,1
10141917500,2-s2.0-80052172945,2,1
10141917500,2-s2.0-80051561105,4,1
10141917500,2-s2.0-79960667021,3,1
10141917500,2-s2.0-79551643537,2,1
10141917500,2-s2.0-79952074321,5,1
10141917500,2-s2.0-79952328914,4,1
10141917500,2-s2.0-79952809486,4,1
10141917500,2-s2.0-79957885356,3,1
10141917500,2-s2.0-79958088408,2,1
10141917500,2-s2.0-79960180741,4,1
10141917500,2-s2.0-79960187518,4,1
10141917500,2-s2.0-79960635539,7,1
10141917500,2-s2.0-84861533853,3,1
