Target Author,Citing Paper,Number of Authors,Overcite Count
22954842600,2-s2.0-84946761422,2,6
22954842600,2-s2.0-84947931468,3,6
22954842600,2-s2.0-84951777028,6,6
22954842600,2-s2.0-84953712553,1,6
22954842600,2-s2.0-84954124622,5,6
22954842600,2-s2.0-84957016133,2,6
22954842600,2-s2.0-84959159894,4,6
22954842600,2-s2.0-84960118642,4,6
22954842600,2-s2.0-84963807907,2,6
22954842600,2-s2.0-84963811661,4,6
22954842600,2-s2.0-84964879617,3,6
22954842600,2-s2.0-84966331039,4,6
22954842600,2-s2.0-84971320724,2,6
22954842600,2-s2.0-84976493940,4,6
22954842600,2-s2.0-84976520854,3,6
22954842600,2-s2.0-84990247237,3,6
22954842600,2-s2.0-84994544647,5,6
22954842600,2-s2.0-84875820381,1,5
22954842600,2-s2.0-84879528663,3,5
22954842600,2-s2.0-84896978851,1,5
22954842600,2-s2.0-84900015845,3,5
22954842600,2-s2.0-84903817810,1,5
22954842600,2-s2.0-84904130676,4,5
22954842600,2-s2.0-84904390806,3,5
22954842600,2-s2.0-84907525610,5,5
22954842600,2-s2.0-84910153611,2,5
22954842600,2-s2.0-84911134490,6,5
22954842600,2-s2.0-84911142365,2,5
22954842600,2-s2.0-84913604606,4,5
22954842600,2-s2.0-84919333412,2,5
22954842600,2-s2.0-84919881363,2,5
22954842600,2-s2.0-84920999551,5,5
22954842600,2-s2.0-84921068379,1,5
22954842600,2-s2.0-84925003007,6,5
22954842600,2-s2.0-84925135219,3,5
22954842600,2-s2.0-84925516004,5,5
22954842600,2-s2.0-84926654878,3,5
22954842600,2-s2.0-84927804535,2,5
22954842600,2-s2.0-84928794143,4,5
22954842600,2-s2.0-84929298524,4,5
22954842600,2-s2.0-84932612683,2,5
22954842600,2-s2.0-84933532726,3,5
22954842600,2-s2.0-84934285573,3,5
22954842600,2-s2.0-84937161351,3,5
22954842600,2-s2.0-84939985582,3,5
22954842600,2-s2.0-84940973711,2,5
22954842600,2-s2.0-84944699143,2,5
22954842600,2-s2.0-84946120824,4,5
22954842600,2-s2.0-84959245508,3,5
22954842600,2-s2.0-84959854915,5,5
22954842600,2-s2.0-84962052782,3,5
22954842600,2-s2.0-84976509918,5,5
22954842600,2-s2.0-84977587173,1,5
22954842600,2-s2.0-84983439236,3,5
22954842600,2-s2.0-84984858198,2,5
22954842600,2-s2.0-84990997661,8,5
22954842600,2-s2.0-85006184001,2,5
22954842600,2-s2.0-77958028880,1,4
22954842600,2-s2.0-84881496647,5,4
22954842600,2-s2.0-84886590000,4,4
22954842600,2-s2.0-84888822916,5,4
22954842600,2-s2.0-84889608731,4,4
22954842600,2-s2.0-84893056693,3,4
22954842600,2-s2.0-84899631947,2,4
22954842600,2-s2.0-84901487566,4,4
22954842600,2-s2.0-84901622853,5,4
22954842600,2-s2.0-84901779400,3,4
22954842600,2-s2.0-84904314564,4,4
22954842600,2-s2.0-84909996471,3,4
22954842600,2-s2.0-84919326349,3,4
22954842600,2-s2.0-84919708935,2,4
22954842600,2-s2.0-84919877646,3,4
22954842600,2-s2.0-84919882786,4,4
22954842600,2-s2.0-84921067548,4,4
22954842600,2-s2.0-84921510061,2,4
22954842600,2-s2.0-84921633068,2,4
22954842600,2-s2.0-84927634855,3,4
22954842600,2-s2.0-84928277402,4,4
22954842600,2-s2.0-84933181256,3,4
22954842600,2-s2.0-84934910695,7,4
22954842600,2-s2.0-84938631741,3,4
22954842600,2-s2.0-84938995195,3,4
22954842600,2-s2.0-84939995943,3,4
22954842600,2-s2.0-84940368499,2,4
22954842600,2-s2.0-84941749793,5,4
22954842600,2-s2.0-84944747852,5,4
22954842600,2-s2.0-84945422144,3,4
22954842600,2-s2.0-84945536956,3,4
22954842600,2-s2.0-84946236316,7,4
22954842600,2-s2.0-84947587660,3,4
22954842600,2-s2.0-84949570387,3,4
22954842600,2-s2.0-84954308584,6,4
22954842600,2-s2.0-84955069846,2,4
22954842600,2-s2.0-84957669510,4,4
22954842600,2-s2.0-84958816110,5,4
22954842600,2-s2.0-84959090642,2,4
22954842600,2-s2.0-84960389902,4,4
22954842600,2-s2.0-84960942419,4,4
22954842600,2-s2.0-84960982166,5,4
22954842600,2-s2.0-84961349311,3,4
22954842600,2-s2.0-84961564550,5,4
22954842600,2-s2.0-84962360185,7,4
22954842600,2-s2.0-84962577841,5,4
22954842600,2-s2.0-84962874776,5,4
22954842600,2-s2.0-84963768851,4,4
22954842600,2-s2.0-84963830885,2,4
22954842600,2-s2.0-84964027456,2,4
22954842600,2-s2.0-84976448595,2,4
22954842600,2-s2.0-84976463898,2,4
22954842600,2-s2.0-84976477341,4,4
22954842600,2-s2.0-84976491032,2,4
22954842600,2-s2.0-84977591957,4,4
22954842600,2-s2.0-84979263838,6,4
22954842600,2-s2.0-84979964590,4,4
22954842600,2-s2.0-84981295702,4,4
22954842600,2-s2.0-84983454144,7,4
22954842600,2-s2.0-84984623498,10,4
22954842600,2-s2.0-84985040956,3,4
22954842600,2-s2.0-84986325533,5,4
22954842600,2-s2.0-84987984680,2,4
22954842600,2-s2.0-84988892643,4,4
22954842600,2-s2.0-84989906080,2,4
22954842600,2-s2.0-84991497387,4,4
22954842600,2-s2.0-84992065344,3,4
22954842600,2-s2.0-84994311143,4,4
22954842600,2-s2.0-84994473902,4,4
22954842600,2-s2.0-84994885350,5,4
22954842600,2-s2.0-34547875703,3,3
22954842600,2-s2.0-39049142063,3,3
22954842600,2-s2.0-79955481617,5,3
22954842600,2-s2.0-79957731762,2,3
22954842600,2-s2.0-79960771936,4,3
22954842600,2-s2.0-80052914550,3,3
22954842600,2-s2.0-82155162445,5,3
22954842600,2-s2.0-84863797298,5,3
22954842600,2-s2.0-84872769694,3,3
22954842600,2-s2.0-84874107145,5,3
22954842600,2-s2.0-84875994905,2,3
22954842600,2-s2.0-84876964561,3,3
22954842600,2-s2.0-84881145343,3,3
22954842600,2-s2.0-84882451966,3,3
22954842600,2-s2.0-84886598116,2,3
22954842600,2-s2.0-84887481112,3,3
22954842600,2-s2.0-84887844028,1,3
22954842600,2-s2.0-84891845672,2,3
22954842600,2-s2.0-84891921205,3,3
22954842600,2-s2.0-84893551790,5,3
22954842600,2-s2.0-84899659317,3,3
22954842600,2-s2.0-84901600806,5,3
22954842600,2-s2.0-84901822896,3,3
22954842600,2-s2.0-84902459076,6,3
22954842600,2-s2.0-84903814957,5,3
